ITEM#,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,rightShear,stretchWarp,stretchWeft,thickness
7296-2C,KTTA & KOTITI,123,,knit,,"polyester 100%
",,,,,,,,,,,,,,,,,,,,,,,,
7308-1A,KTTA & KOTITI,145,,knit,,"polyester 97%, ",EL 3%,,,,,,,,,,,,,,,,,,,,,,,
7308-1B,KTTA & KOTITI,186,,knit,,"polyester 83%, ",Polyurethane 17%,,,,,,,,,,,,,,,,,,,,,,,
7324-1A,KTTA & KOTITI,258,,woven,,"polyamide 89%, ",Polyurethane 11%,,,,,,,,,,,,,,,,,,,,,,,
7326-1A,KTTA & KOTITI,285,,knit,,"polyester 93%, ",EL 7%,,,,,,,,,,,,,,,,,,,,,,,
7339-1A,KTTA & KOTITI,36,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7339-1A,KTTA & KOTITI,184,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7339-1B,KTTA & KOTITI,335,,Woven,,"wool 83.8%, ","polyamide 10.8%, ","polyester 4.6%,",PU 0.8%,,,,,,,,,,,,,,,,,,,,,
7339-1B,KTTA & KOTITI,142,,knit,,"polyamide 46%, ",polyester 43%,", EL 11%",,,,,,,,,,,,,,,,,,,,,,
7340-1A,KTTA & KOTITI,299,,knit,Ferry Terry,"cotton 85%,",polyester 15%,,,,,,,,,,,,,,,,,,,,,,,
7340-2A,KTTA & KOTITI,81,,Woven,twill,"acylic 52%, ",viscose 48%,,,,,,,,,,,,,,,,,,,,,,,
7340-2B,KTTA & KOTITI,363,,knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
